question,answer,image_id
what is in front of the tooth brush cup,toothpaste,image49
what is on the right side of the oven,door,image791
what is found next to the left side of the cabinet,bed,image1118
what is the colour of the towels,white,image694
what is the tall white object on the table,tissue_roll,image448
what is the colour of the kitchen,white,image204
how many drawers are there,5,image500
what is above utensil,tissue_roll,image573
what is on the right side of the electrical mixer,salt_shaker,image855
what is above the table,television,image1198
what is on the wall,"picture, picture, picture",image1440
what is near the bag on the table,plastic_tray,image308
what is the largest object on the table,book,image53
how many chairs are around the table,4,image1436
how many frames are on the wall above the chair and the lamp shade,3,image588
what is the colour of the clothes on the coffee machine,blue,image820
what is under the table,chair,image1125
what is at the corner of the room,chair,image1286
what is on the right side of the bed,"drawer, table",image985
what is the object close to the door,door_knob,image922
how many tissue rolls are there,3,image703
what is under the toilet,can,image45
what is on the left side of the window,table,image544
what is the blue object that is in front of the counter and to the right of the photocopying machine,garbage_bin,image10
what is near the mouse,pen,image456
what is on the wall,picture,image1346
what is in front of the chair,table,image384
what is on the sofa,"pillow, book",image50
what are the objects found on sink,"toothpaste, bottle_of_hand_wash_liquid",image651
what are found on the right side of the table,clothes,image1079
what is the colour of the object hanged in the bicycle,blue,image985
what is the colour of the sofa,black,image1226
how many sections are in the steel rack,3,image101
what is in front of the mirror,glass_container,image1389
what is on the left side of the chairs,window,image1261
how many pillows are there on the bed,5,image1076
how many pillows are there,2,image463
what is the object on the side rack that rotates,notecards,image101
what is in front of flat belt scanner,paper_tray,image454
what are the sheets pinned on the poster board,newspapers,image21
what color is the red object in front of the wall on the left side of the desk,paper_tray,image9
what is above the shelf,framed_certificate,image319
what is the largest red object in front of the shelf,sofa,image1293
what is to the opposite of the cabinet,bed,image1180
what in the brown object next to the black armchair,table,image28
how many lamps are there,2,image1329
what is on predominantly lying down on the bed,clothes,image70
what is the colour of the comforter,"yellow, red, green, blue",image983
what is the object on the floor in front of the counter,garbage_bin,image568
what is in front of the flower vase,chair,image1388
how many students are to the right of the teacher,2,image306
what is in blue colour,can_of_beer,image142
what is the colour of the table,white,image1346
what is on the left side of the bed,carton,image1021
what is behind the red cloth,clothes,image1243
what is the object close to the wall above the sofa,picture,image43
what us on the bookshelf,drawer,image627
what is above the tap,picture,image860
what is the object in front of the whiteboard,chair,image33
what is behind the chair,ladder,image248
what is in front of the wall with tree drawing,table,image305
what is the object placed in front of the filling shelves,table,image17
what is at the opposite of the table,door_way,image1406
what is the object close to the wall,picture,image815
what are the things found on the left side,"chair, lamp, books",image966
what is on the right side of the tissue roll,plastic_box,image413
what are the objects seen outside of the window,plant,image748
what is the object on the counter right side of the sink,towel,image735
what is on the either side of the bed,light,image997
what is between the sidetable and the window below the mantel,fireplace,image1225
what is on the desk and below the window,"ironing_board, clothing_iron",image523
what is above the toilet,tissue_roll,image501
what is on the right side of the lamp,tissue_box,image1117
what is on the right side of the cable,tissue_roll,image841
what is on the right side of the chair,monitor,image454
what is found on the floor,floor_mat,image1059
what are the objects on the shelf,books,image953
what is in front of the microwave,tissue_roll,image214
how many sofas are there,2,image1086
what is the animal found,dog,image784
what is to the left of the table,chessboard,image430
how many empty burners are there,3,image785
how many black armchairs are there next to the white wall,1,image51
what is in front of the cup,towel,image840
what is beneath the drawer,books,image514
what is the colour of the comforters,"white, pink, blue, green",image1020
what is in the corner of the wall,whiteboard,image339
what is in front of the table,chair,image1391
what is the colour of chair,brown,image248
what are stuck on the wall,photo,image1431
what are the colours visible,"white, brown",image65
what is on the right side of the chair,lamp,image1294
what is on the left side of the tap,bottle_of_hand_wash_liquid,image505
what is beneath the television,table,image1138
what is at the left side,bed,image1070
what is at the end of the kitchen island,cutting_board,image134
what is behind the sofa,window,image600
what is behind the sofa,window,image1183
what is on the left side of the blue bowl,decorative_plate,image1205
what is to right of sofa,basket,image593
what is on the left side of the bed,night_stand,image1029
what colour is the screen,red,image534
how many red pillow are there on the bed next to the black pillow,2,image978
how many windows found to the opposite of the table,2,image888
what is in front of the sofa,table,image601
what is the chair made of,glass,image459
how many pillows are there,5,image1200
how many beds are found,3,image1097
what is the tallest object on the floor left of the bed,lamp,image537
what is on the left side of the bed,dresser,image1130
what is the object close to the towel rod,towel,image705
what is on the floor and on the right side of the painting,toy_box,image280
what is the rectangular shaped object on the night stand on the right side of the bed,laptop,image79
what is the round object between the armchairs,ottoman,image403
what is in front of the cupboard,"chair, carton",image34
what is in between the pictures on the drawer,mirror,image1167
what is in front of the lamp,person,image222
what is on the wall,map,image524
what is the colour of the chair,brown,image8
what are the things on the dining table,"table_runner, flower_pot",image1434
what color is the bedhead in this picture,brown,image76
what is in front of the carpet,chair,image1182
what is found under the table,garbage_bin,image1103
how many pillows are there on the bed,1,image928
what is on the table,"book, picture",image1251
how many pillows are there on the sofa in the right side of the man,2,image229
what is in front of the table,sofa,image1312
what is the object on the stool,lamp,image909
which object is big on the table near to the shelf,plastic_box,image320
what is the object in front of the window,curtain,image1113
what is to the right side of the sofa,table,image1087
what is in front of the bowl,plate,image839
what is on the floor on the left side of the wardrobe door,head_phone,image59
what is to the right of the table,cabinet,image1349
how many apples are there,2,image753
what is the colour of the wall,green,image730
what is stuck on the right side wall,television,image913
what is behind the table,drawer,image349
what is on the wall,"picture, wall_decoration",image1445
how many faucet handles are there,2,image651
what is on the right side of the table,chair,image1313
what is to the right of the chair on right side,table,image1292
what is in front of chair,computer,image552
how many faucet handles are there,2,image663
what is the colour of the wall on the left side of the white board,red,image641
what is beneath the table,cables,image823
what is near the baby chair,toy_stroller,image1414
what is on the wall,"picture, blinds",image1063
how many wall decorations are close to the wall,2,image1352
how many towels hanged on the bottom,3,image654
what is to the right of the table,chair,image452
what is in front of the window,table,image1373
what is on the right side of the monitor,keyboard,image621
what is on the left most side on the table,microwave,image559
what is in between the chairs,stand,image615
what is on the wall,"picture, framed_certificate",image1373
what is the object close to the sink on the counter,faucet,image127
what is at the left corner of the table,books,image642
what is right side of the cup,towel,image46
what is kept on the sofa,pillow,image209
what is the largest object,bed,image1092
what are the boards that are slanted on the counter,cutting_board,image134
what is to the right of the sofa,hand_weight,image348
what is the colour of the leather stool,black,image464
what is on the sofa,pillow,image1295
what is the colour of the box near the gas burner,white,image776
what is the colour of the dining table,white,image1416
what is in front of the,bag,image491
what is behind the computer,shelves,image213
what are the objects kept on the boxes,books,image93
what object is in the wall on the right side,light_switch,image1250
what is on the right side of the sofa,chair,image1257
how many drawers are there,4,image1153
what is on the cabinet in front of the dish rack,casserole_dish,image130
what is found near the window,vase,image848
how many beds are there,2,image1127
what is on the left side,speaker,image1063
what is on the left side of the stove,microwave,image784
what is left of the man,stove,image562
what is the black colour object on the table,lamp,image955
who is in front of the computer,person,image213
what is above the table,fan,image1368
what is on the sofa,book,image1298
what is the colour of the floor,brown,image222
what color is the blanket,white,image1105
how many lights on the ceiling,4,image1382
what is on the left most side on night stand,lamp,image81
how many water sprinklers are,1,image12
what is on the right side of the table,carton,image1084
what is the object on the floor in front of the wall,sofa,image1217
what is at the bottom of the photo,sofa,image1233
what is on the wall,"decorative_plate, wall_decoration",image1091
what is the object on the floor in front of the wall,bed,image1169
how many black objects are there,2,image59
what is the largest object,piano,image1422
what is on the stove burner,coffee_pot,image126
what color are the small chairs,red,image1315
what is object on the floor in front of the table,chair,image552
what is is in the third rack of the shelf,books,image152
what is the object on the hangers,clothes,image119
what is near the chair,baby_chair,image398
what is below cpu,table,image20
what is the object in the left side,curtain,image959
what are the objects hung close on the hangers,jacket,image95
what is the object stuck close to the refrigerator door,magnet,image126
what is below the vegetables,cutting_board,image135
what is on the chair in front of the piano,clothes,image354
what color are the bed sheets,red,image989
what is behind the sofa,"flower, vase",image1278
how many cupboards chambers found below,3,image762
what is on the switch board,cell_phone_charger,image577
what is on the left side of the ornamental plant,door,image465
what is to the right of the floor mat,piano,image1411
what is behind the hanger,lamp,image516
what is above the computer on the wall,picture,image355
what is the largest object,table,image39
how many black armchairs are there,2,image1297
what is the object on the right side of the bookshelf,treadmill,image995
what is opposite to the game table,sofa,image1244
what is the colour of the lamp,black,image956
how many toy boxes are under the table close to the wall,6,image292
what is to the right of the sofa,table,image1289
how many cartons have a sticker on them,3,image106
what is in between the chairs,stool,image434
how many drawer knobs are there,2,image651
what is on the window,curtain,image1284
what is the object in the shelves,towel,image715
what is the object close to the wall,whiteboard,image42
how many bottles are there,6,image1296
what is found on the floor in the right side,sofa,image1268
what is in front of the basket,cabinet,image1093
what is present to the left,clothing_drying_rack,image1007
what is hanging from the bed near the cupboard,belt,image1050
what is on the right side of the basket,plate,image411
what are the colours in the blanket,"pink, orange, blue, yellow",image1199
how many doors do the cupboards have,6,image102
what is on the right side of the garbage bin,slide,image1079
what is on the right side of the fan,window,image647
what is on the left side of the chair,toy,image863
how many down draws are there,9,image749
what is beneath the window,towel,image706
which object is more,books,image375
what is the object close to the wall,picture,image1022
what are the objects on the bed,"pillow, blanket, bed_sheets",image1060
what is the colour of the round table mat,white,image747
what is the white sheet stuck close to the wall,projector_screen,image20
what is found in front of the sofa,foot_rest,image1214
what is in the second rack of the table,newspapers,image461
what is the colour of screen,blue,image501
what is to the left of bookshelf,bottle_of_liquid,image450
what is on the table,"paper, decorative_item",image880
what is on the bed,pillow,image1002
what are the objects on the bed,"blanket, pillow",image537
what is beneath the plant,table,image458
what is in front of the table,chair,image1384
what is in front of the table,basket,image1156
what object is stuck below the storage rack,tissue_roll,image808
what is behind the sofa,window,image583
what is in front of the cabinet,sofa,image1253
what is beneath the picture,fireplace,image1322
what is the object close to the wall in the shelf,microwave,image829
what is the object in front of the wall,table,image55
what is the colour of floor,brown,image514
what is in between sofas,lamp,image379
what is in front of the door way,excercise_machine,image1213
what is in front of the sofa,table,image1204
what is number stand visible on the table,6,image114
what is on the floor,bag,image299
what is on the refrigerator,"paper, magnet",image773
how many red pillows found on the bed,3,image1118
what is on the table,book,image1281
how many red chairs are there,5,image27
how many cables are plugged to the switch box,2,image139
what is to the right side of the table,sofa,image1205
what is the object found on the table,toy,image863
what is between the magazines and the door,toilet,image506
what at the left corner of the shelf,paper_holder,image638
what is on the right side of the table,door,image711
what is the colour of the door,brown,image752
what is on the left side of the wooden wall,"chair, stool",image478
what is on the wall,"picture, wall_decoration",image1433
what object is found on the table,coffee_machine,image817
how many hot dog packs are three,3,image813
what is at the bottom of the photo,sofa,image1289
how many chairs are there,6,image748
what is near the switch box,bag,image394
how many draws are there in the unit where the tv dvd is kept,2,image62
what is on the left side of the refrigerator,poster_board,image843
what is near the table,plastic_toy_container,image423
what is hung in the room near the left side,curtain,image1008
what are the objects on the stool,"lamp, flower_pot",image487
what color is the board,black,image323
what is the object close to the wall,spice_rack,image136
what is on the wall,television,image1112
what is on the wall below the clock on the left side of the green curtain and on the right side of the gray door,telephone,image8
how many bowls are on the tv stand,2,image164
what are the things found on the sink,"bar_of_soap, bottle_of_hand_wash_liquid, cream, toothpaste",image660
what is on the left side of the night stand,garbage_bin,image909
what is behind the man,stand,image562
what is the colour of the iphone,black,image621
what is on the window,blinds,image932
what is the black object on the counter,hot_water_heater,image844
what is the blue colour object found,bag,image854
what is in front of the window,sink,image808
what is at the top right corner,window,image1280
what are the circular objects visible,"table, clock",image35
how many cobalt bins are there,1,image37
what is behind the chair,fruit,image810
what are stuck on the wall,photo,image1166
what is attached to the bunk bed,ladder,image1077
what are the things on the table,"books, lamp",image1182
what is to left of lamp,door,image583
what near the tap,bottle_of_listerine,image500
what is found to the right side of the bed,"window, curtain, broom",image910
what is the black colour object on the floor near the window,bag,image1135
what is on the floor,box,image377
what are the objects close to the wall,"soap, hand_sanitizer, towel_rod, towel",image46
what is to the right of the wine rack,coat_hanger,image158
how many ottomans are around the table,1,image434
which object is large,clock,image351
what is at the corner near the cabinet,vase,image1308
what is on the floor,clothes,image1036
what is in front of the door,ornamental_plant,image788
what is on the left most table,television,image1072
what is above the chair,photo,image1151
what is on the left side of the chair,window,image801
what is on the table,"paper, book",image378
what is kept on the top of the television,clothes,image980
what is the object close to the wall,whiteboard,image33
what is the brown object on the floor,bean_bag,image1306
how many drawers are there,5,image564
what is on the table,"microwave, bottle, fruit, paper",image591
what is the colour of the pillow,"red, blue, black, white",image930
what is on the right side of the monitor,tissue_box,image637
what are the things on the right side cabinet,"alarm_clock, tissue_box",image1074
what is the colour of the table and chair,brown,image1180
what is behind the ironing board,blinds,image969
what is on the left side of the container,coffee_machine,image416
what is found to the opposite of the photo,cabinet,image1149
what is behind the chair,table,image378
what object is found on the left side cabinet,lamp,image1147
what is on the right side,cabinet,image1319
what is the largest object,shelves,image238
what is found near the sandal colour sofa,horse_toy,image1429
what is on the right side of the sofa,chair,image1333
what is the colour of the blinds,white,image1199
how many chairs are there,2,image455
what is the colour of the chair,"blue, red",image986
what is on the left side of the carton,door,image618
what is in front of the mantel,chair,image1448
what objects are found on the top row of the toys shelf,"books, bottle",image990
what is near the window,water_dispenser,image327
what is on the left side of the picture,blinds,image724
what is in front of the bed,bench,image942
what is above the television,picture,image1244
what are the objects on the bed,"pillow, blanket",image1020
what is to the right of the bookshelf,bookrack,image1315
what is on the left side of the fireplace,iron_grill,image581
what are the objects found on the sofa,"box, bag, pillow",image1325
what is to the left corner of the shelf,napkin,image448
what is in front of the picture,"chair, table",image843
what is on either side of the audio player,speaker,image1001
what is to right of shelf,door,image535
what is behind the sofa,window,image1264
what is to the left switch on the wall,photo,image1247
what is to right of towel,shelves,image502
what is on the right most side on the table,lamp,image533
what is in front of the window,fan,image604
what is on the wall,picture,image883
what is to the left of the vase,mirror,image1405
what are the things found under the storage rack,"tissue_roll, coffee_machine",image836
what is behind the decorative item on the flush tank,tissue_box,image677
what is the door colour,white,image769
how many chairs are there in front of the decoration item,4,image1258
how many chairs are there,14,image1372
what is behind the ornamental plant,window,image620
what is on the left side of the tap,bottle_of_liquid,image804
what is in front of the wall,table,image1097
what is on the corner of the room,lamp,image1341
what is the object on the floor in front of the air vent,bathtub,image509
what is on the wall,picture,image1176
what is the object close to the wall above the table,television,image913
what is at the right bottom,book,image1239
what is above the board,picture,image290
what is the colour of the flowers,"yellow, red",image1434
what is the object on the table in the corner,lamp,image988
what colour shirt is the man wearing,white,image519
what is to the right of the sofa,table,image1234
what is to the right of the piano,window,image1279
what is on the left side of the laptop,papers,image83
what is the object close to the wall above the counter,microwave,image812
what is to the right side,wardrobe,image1166
what is the displaying object close to the wall,projector,image20
how many shelves are visible,4,image799
what is on the top of the cabinet,"candlestick, toy_dog",image590
what is on the right side of the bottle,monitor,image633
what is on the right side of the door,garbage_bin,image1079
what is in front of the sofa,table,image1276
what is the object at the bottom of the curtain,floor_mat,image693
what is the white coloured machine,printer,image34
what is on the wall,"poster_board, mirror",image991
what is in front of the bottle of hand was liquid,glass,image679
what is in front of the chair,picture,image371
what is behind the coffee table,mantel,image1444
how many pictures are on the wall,2,image177
how many cupboards can see,2,image763
how many black speakers are there,2,image29
how many chairs are in front of the teacher,2,image306
what is the colour of the pillow,red,image1078
what is kept under the pillow on the seater,backpack,image1012
what is on the kitchen island,juicer,image134
what is at the right side of the table,bed,image1191
what is the colour of the sofa,blue,image1143
what is inside the,vessel,image132
how many rack shelves are there with coffee mugs,2,image101
how many tables are available,3,image6
what is the colour of the fruit,yellow,image838
what is on the right side of the stove,bottle_of_liquid,image780
what is on the left side on the table,microwave,image827
what is on the left side of the bath tub,bottle_of_liquid,image686
what is the object found on the top of the toilet tank of cistern,tissue_box,image685
how many black swivel chairs are there around the brown table,6,image19
what is found at the top left,refridgerator,image823
what is right next to the bed,lamp,image916
what is the object close to the counter,sink,image679
what are the things on the piano,photo,image1330
how many table runner are,3,image930
how many windows,2,image74
what are the stuck on the wall,light_switch,image1080
what are objects on the table,"computer, monitor, telephone, keyboard",image31
what is hanging on the hooks,backpack,image302
what is the colour of the stand,black,image119
what is in front of the bookshelf,board,image1100
what is the object close to the wall below the cabinet,microwave,image854
what is the colour of the bedding,"blue, white",image1066
what are the fruits found on the top of the table,"pineapple, banana",image852
what is the black and white object on the top right of the brown board,clock,image23
what is on the night stand,lamp,image487
what is left of shelf,door,image295
what is behind the chair,shelves,image224
what is the object on the counter,"monitor, keyboard, mouse, pen, paper",image621
what is the object close to the counter,stove,image883
what is found in front of the window,cabinet,image1123
what is on the left of the decorative item on the wall,curtain,image1420
what is on the cabinet,television,image1319
what is the colour of the window,red,image363
what are the two largest black objects in this picture,"bookshelf, treadmill",image1082
what is stuck on the wall of the left side,photo,image847
what are the objects on the floor,"bag, shoe, garbage_bin, bag, box",image61
what are the objects on the table,clothes,image1441
how many vases found,2,image894
what is on the left side of the bed,lamp,image1181
what is the largest dark gery object in this picture,door,image8
what is on the cot,"bed, rug, blanket, pillow",image74
what is behind the students,drawer,image306
what is on the window,window_cover,image640
what is on the table,"telephone, paper, file, clothes",image1141
what is beneath the television,speaker,image1218
how many chairs are there,1,image831
what is on the second rack of the shelf,speaker,image935
what is the red object on the table,bottle,image528
what is the object left of the table,room_divider,image38
how many black telephones are there on the light brown table,1,image23
what is the colour of the chair and table,black,image1368
what is the object above the toilet close to the wall,mirror,image659
what is present in front of the window,bed,image1036
what is the colour of the pilar,white,image107
what is on the window,curtain,image939
what is on the table,"bowl, book",image1286
what is stuck on the table,photo,image1143
what is between the toy truck and the toy shelf,doll_house,image443
what are the things in the rack,"framed_certificate, vase",image1393
how many black objects are there,3,image1212
how many pairs of socks are on the toy table,1,image424
what is behind the chair,bag,image299
what is the colour of door,gray,image263
which item is red in colour,toaster,image127
what is in front of the curtain,cabinet,image1175
how many rectangle frames are there on the wall and above the lamp,1,image217
what is kept on top of the seater,pillow,image1011
what is on the billiard table,pool_ball,image433
what are found on the top of the left side cabinet,"toy, photo",image1162
what is on the left side night stand of the bed,cream,image996
how many people are there,2,image634
what is found behind the dining table,window,image878
what is the object on the table,soft_toy,image975
what is in front of the table,chair,image946
what is on the left side of the cable,pen_cup,image556
how many lamps are on the ceiling,3,image797
what is the object to the right of the television,bicycle,image985
what is in the door,door_knob,image251
what is found on the left side of the right window,storage_rack,image802
what is behind the wall divider,table,image1449
what is to the left of the drawer,chair,image306
what is at the top right side,fireplace,image1225
what is the object on the floor,box,image1168
how many white monitors are there,1,image13
what is in front of the bed,chair,image1124
what are the objects on the table,books,image982
what is right side of the tap,bottle_of_liquid,image44
what is the object on the floor in front of the cabinet,garbage_bin,image877
what is the object on the floor,stool,image735
what is on the left side of the framed certificate,curtain,image1399
what is the colour of the blinds,white,image1126
what are the things inside the display case,"certificate, trophy",image1371
how many pillow are,4,image518
what is in front of the switch board,paper,image850
what is the object on the stool,lamp,image992
what is kept in the bottom rack of the shelf,box,image1019
what is the colour of the sofa,black,image487
what is the object on the top of the television closet,light,image801
what is the object behind the screen,bathtub,image667
what is on the table,vase,image434
what is in front of the wall,monitor,image788
what is the object above the sink,mirror,image649
which object has the colorful circle pattern,bed_sheets,image525
what is the object on the tissue handle,tissue,image874
what is behind the chair,window,image589
how many drawers are there,4,image782
what is on the right side of the iron box,ironing_board,image586
what is found on the right side,bed,image909
what is on the sofa,"pillow, paper",image475
what is on the floor,floor_mat,image526
what is the colour of the sofa,black,image386
what is behind the table,cabinet,image1382
what is at the bottom left,bed,image1091
what is in front of the cup,cream_tube,image721
what color is the garbage bin in front of the white board on the floor,blue,image28
which object is more on the stool,books,image176
what is in front of the window,table,image1068
which object is used for computer,mouse,image360
what is beneath the shelf,washing_machine,image492
what is placed behind the sofa,lamp,image244
what is near the floor mat,shoe,image1411
what is on the stove,oil_container,image867
what is the object on the chair,jacket,image1053
what are the objects found near the television,"dvd_player, book",image1317
what are the things on the dining table,"table_runner, flower_pot",image1436
what is on the right side of the bed,tissue_box,image1074
what is the colour of the comforter,green,image58
what is on the left side of the bed,lamp,image1014
what are the things found on the top of the sink,"bottle_of_hand_wash_liquid, bar_of_soap",image656
what is in between the chairs in front of the window,chest,image382
what is in front of the paper,envelope,image570
what is on the table,"books, bottle, pencil, lamp",image1037
how many knobs are there,6,image941
what is the object under the table,chair,image1134
what is the colour of the table and chair,brown,image1433
what is on the left side of the lamp,pen_cup,image955
what is the object below the window close to the wall,heater,image77
what is on the right side of the bottle of liquid,oven,image780
what is next to the kitchen container,"sink, faucet",image896
what is to the left of the toy house,toy_stroller,image1220
what is on the left side of the clock,decorative_item,image547
what is left of shelf,sofa,image282
what are found behind the chairs,bowl,image889
what object is found opposite to the window,bed,image1148
what is placed in the shelf,books,image594
what is in front of red bag on the bathroom basin,hair_brush,image44
what is placed on the table,"telephone, stand",image600
what is the object on the floor left of the counter,ladder,image884
how many pictures are there on the dresser,1,image175
what is beneath the chair,machine,image454
what is hanged on the wall,television,image1218
what is the edible object kept on the trays,bread,image123
what is at the bottom left,bed,image1175
what is to the right of the second sofa,table,image1328
what is above the table,chandelier,image1406
how many drawers are there,6,image827
what is on the right side of the tissue box,"paper_holder, paper",image624
what is on the right side of the door,carton,image625
what is on top of the table yellow in colour,clock,image319
how many square shelves are there on the wall,4,image1127
what is on the left side of the door,towel,image681
what is on the left side of the curtains,lamp,image939
what is on the floor,rug,image1419
what is on the shelves,pillow,image231
what is found in front of the photo,sofa,image1087
what is in the rack,show_piece,image1377
what is stuck on the wall,photo,image1423
how many drawer handles are there,4,image666
what is on the right side of the curtains,bathtub,image649
what is found opposite to the door,bunk_bed,image1160
what is found on the table,vase,image1231
what is on the wall in between the shelves,picture,image623
what is on the left side of the kitchen rack,book,image892
what is the object above the shelf frame close to the wall,mirror,image47
what is on the sofa,pillow,image1303
what is on top of microwave,coffee_machine,image570
what is the object close to the wall,wall_decoration,image118
how many chairs are,6,image345
what is the largest object on the study table,monitor,image782
how many chairs are there,1,image754
what color is the roll of paper towels,1,image252
what is to right of sofa,door,image598
what is the object on the stool,books,image987
what is behind the table,stool,image1224
what is the object close to the wall right of the counter,dishwasher,image884
what is the big white object in the left side on the black electronic kettle,refridgerator,image875
what is on the right side of the stove,bottle_of_liquid,image837
what are the objects found below the window,"stool, cabinet",image1162
what is found to the right of the wall divider,cabinet,image1180
how many bottles are on the desk,11,image4
what is the largest object,sofa,image209
how many chairs are,2,image243
what is the object on the counter in the corner,electric_mixer,image568
what is between the paper holder and tape dispenser below the white paper rack,hole_puncher,image11
how many pictures are visible,7,image1370
what is on the left side of the book,perfume,image66
what is the object on the below the table,floor_mat,image466
how many kids are standing behind the door,1,image321
what is the colour of the towel,white,image720
what is the largest object,sofa,image591
what color are the circles in the picture below the whiteboard,green,image285
what is the object on the table,plant,image149
what is the shower door made of,glass,image508
what is the largest object,cabinet,image75
which electric home appliance is on the right side of the table,clothing_iron,image523
what is in front of the sofa,carton,image486
what is the object on the counter in the corner,microwave,image857
what is on the right side of the container,cooking_pan,image867
what is the brown object on the bed,blanket,image82
what object is behind the plant pot,window,image1300
what is to the right of the game table,table,image438
what is on the right side of the bed,night_stand,image1066
what is left of computer,printer,image528
what is the object close to the wall,picture,image966
what is present on top of the bed,pillow,image1046
what is in front of the window,"table, chair",image441
what is on the drawer,laptop,image79
how many drawers does the dresser have,5,image1148
what is the object on the table,lamp,image588
what is there in front of the screen,chair,image8
what is above the sink,mirror,image170
what is the blue colour object on the table,scale,image330
what is in front of the towel,stand,image706
what is found under the table,toy_bin,image1161
what is the object close to the wall right of the shelf,window,image979
what is on the left side of the shoe,"pillow, chair",image1010
what is above the table,projector,image19
what is the colour of the knife rack,yellow,image766
how many clockes are on the white wall above the telephon,1,image8
what is on the lef side of the monitor,printer,image1262
how many lamps are there,2,image1092
what is on the top of the dresser close to the red deoderant,box,image82
what is on the top of the bathtub,window,image698
what is the object on the floor in front of the table,garbage_bin,image496
what is on the table,"ashtray, bowl",image1238
what is the colour of the plastic bottle,green,image841
what are the objects close to the shelves,books,image1084
what is the object behind the table,window,image1249
how many photos are there,2,image899
what is colour of bed sheet,blue,image520
what is hanged to the left of shelf,spice_stand,image131
how many picture frames are there on the wall,3,image1017
what is to the left of the shelf,whiteboard,image641
what is on the right side of the bowl,decorative_item,image849
what is above the show piece rack,ornamental_plant,image1371
what is the object close to the wall,picture,image973
what is the object on the floor behind the screen,bathtub,image744
what is on the wall at top right,photo,image1245
what is found behind the television,door,image1072
what is on the corner of the table,laptop,image373
what is on the left side of the purple sofa,crib,image402
what is on the right side of the bed,chair,image1116
what objects are found to the right side of the television,photo,image913
what is to the left of the toy house,shelves,image399
what is in between the cup and utensil container,candle,image874
what is the object found near the left side of the sink,utensil_container,image873
what is on the table,telephone,image39
what is to the right of the door way,table,image1327
what is above the chair,picture,image910
what is behind the fain,sofa,image604
what is between the dresser and the desk on the floor,cables,image63
what is on the right side of the briefcase,paper,image610
what is the colour of the refridgerator,black,image797
what is on the left side of the microwave,refridgerator,image763
what is on the right side of the knife rack,fruit,image779
what is near the bed,toy_stroller,image1083
what are the objects on the shelves that is close to the wall,cup,image100
what is the object behind the bed,wall,image65
what is on the table,"paper, decorative_platter, desk_mat, book, newspapers",image1417
what is the object on the stool,television,image980
what is on the chair,pillow,image590
what is the object on the floor left of the bed,cabinet,image537
what is inside the sink,dishes,image143
what is on the table,computer,image421
what is the object found on the top,bottle,image812
what is the object close to the wall behind the table,window,image596
what is near the plant,lamp,image342
how many pillows are there,3,image1314
how many lamps are there,2,image1175
what is beneath the shelves,plastic_chair,image1315
what is behind the sofa,blinds,image477
what is in front of the wall,toy,image444
what is on the table,papers,image607
what is the largest object,sofa,image591
what is to the left of the stove,knife_rack,image129
what is right of shelf,door,image542
what is on the desk,"desk_mat, paper, book, napkin_dispenser",image374
what is the red object close to the wall in the turning of the room,fire_extinguisher,image15
how many red colour sofas are there,2,image1308
what are the objects on the table,"lamp, fan, book, wire",image931
what is at the right side,bookshelf,image1217
what is in front of the wall,stand,image459
what is on the floor in between the drawers and bed,cables,image1118
what is beneath the drawer,garbage_bin,image1103
how many monitors are there on the table,3,image112
what is to the left of the computer table,shelves,image337
what is the most colorful object in this picture,rug,image590
what is behind the sofa,chair,image247
what is on shelf,books,image549
what is on the cardboard,papers,image31
what is the colour of the wall,pink,image1077
what is the colour of the bed,red,image1197
what is the colour of computer,white,image13
what is the colour of the spatula,blue,image846
what is behind the chairs,blinds,image1355
what is the colour of the towel seen,white,image667
what is on the ceiling,"fan, light",image798
what is the object on the fruit platter,fruit,image565
what is at the right bottom,table,image1341
what object is found on the burner,tea_kettle,image877
what is left of man,garbage_bin,image519
what is in front of the bed,book,image1124
what is in front of the chair,table,image224
how many frames are there on the wall,1,image888
what is behind the table,window,image293
what is in front of the paper,pen,image839
what object is found on the left side of the bed,cabinet,image1107
what is behind the sofa,bookshelf,image1335
what is the object on the floor right of the table,lamp,image52
what is on the right side of the crib,cloth_bag,image944
what is above the air conditioner,window,image209
how many shower knobs are found,3,image687
what is the colour of the chairs,"brown, gray",image1449
what is beneath the table,garbage_bin,image473
what is on the right side of the pencil,book,image552
what is the colour of the pillows,"red, black, white",image1094
what colors are the sticker notes on the shelves,"pink, yellow",image104
what is on the shelves rack,alarm_clock,image376
what is near to the paper rack,umbrella,image315
what is on the right side of the sofa,lamp,image1272
what are the colour found in the toy,"yellow, green, red",image863
what is the colour of sofa,brown,image599
what are the objects on the shelves,books,image111
what are found on the bottom left of the outside of the shower room,drawer,image686
what is the colour of napkin,white,image706
how many chairs are there,13,image118
how many shelves does the bookcase have,4,image542
how many pink towels are on the pile of clothes,1,image419
what is the object close to the ceiling,light,image783
what is on the right side of the sofa,table,image1217
what is hung on the door,clothes,image1012
how many monitors are there,3,image111
what is the object close to the wall,wall_decoration,image1159
what is the object close to the table top,tablecloth,image1379
how many photos are there,2,image1298
how many toy boxes are on the floor,2,image447
what is found on the floor,floor_mat,image1327
what are found on the table,"toy_box, chart",image1066
what is the colour of towel,brown,image705
what are found on the cabinet,"decoration_item, toy",image1173
how many tables are there,3,image118
